Ticker,Date,Close,Shares Outstanding,Report Date,total debt,long term debt,fiscal year,beta,coe,weird tax rate,cod,market cap,Wacc
FOE,2018-12-31,15.68,83000000.0,2018-12-31,1426611000,811137000.0,2018,1.86,0.1273,0.22161320101546278,0.018106288259378347,1301440000.0,0.06820968878514368
FOLD,2018-12-31,9.58,189383924.0,2018-12-31,460102000,321740000.0,2018,1.35,0.09925,0.00026927230591622386,0.020502823287010273,1814297991.92,0.08244875767861676
FORM,2018-12-31,14.09,74139712.0,2018-12-31,148058000,,2018,1.39,0.10144999999999998,-2.066466236330946,0.010447392238176931,1044628542.08,0.08988074369235696
FOSL,2018-12-31,15.73,49518000.0,2018-12-31,986567000,269788000.0,2018,1.02,0.0811,1.046504709965295,0.03403455619334521,778918140.0,0.05080551595806692
FRAN,2019-01-31,10.6,3013265.0,2019-01-31,79652000,10000000.0,2018,2.06,0.1383,-0.22401937335565658,0.004225129312509416,31940609.0,0.041967410446510846
FRPT,2018-12-31,32.16,35542426.0,2018-12-31,18490383,,2018,0.79,0.06845000000000001,-0.014590163562137715,0.012656571797350007,1143044420.1599998,0.06751951812893625
FRT,2018-12-31,118.04,74249633.0,2018-12-31,3686106000,71519000.0,2018,0.93,0.07615,0.0,0.023406131022819205,8764426679.32,0.059079424131947424
FSLR,2018-12-31,42.45,104885261.0,2018-12-31,1908959000,461221000.0,2018,1.26,0.0943,-0.2755618796786481,0.01072709785804724,4452379329.450001,0.06854480052546343
FSS,2018-12-31,19.9,60200000.0,2018-12-31,493700000,209900000.0,2018,1.15,0.08825,0.16039426523297495,0.014881506988049424,1197980000.0,0.0659261000898515
FTEK,2018-12-31,1.19,24170585.0,2018-12-31,17667000,,2018,1.84,0.1262,0.2796610169491526,-0.0002682968245882153,28762996.15,0.07809919911289935
FTI,2018-12-31,19.58,450500000.0,2018-12-31,14315100000,4124300000.0,2018,2.24,0.14820000000000003,-0.2840534910288286,0.01991680114005491,8820790000.0,0.06623815932734813
FTNT,2018-12-31,70.43,169800000.0,2018-12-31,2067800000,,2018,1.0,0.08,-0.32403347947389394,-0.010124286681497244,11959014000.000002,0.06702751387449779
FTV,2018-12-31,67.66,334500000.0,2018-12-31,6292700000,2974700000.0,2018,1.26,0.0943,0.1484606824925816,0.012177602618907624,22632270000.0,0.07587771952745326
FUL,2018-11-30,48.24,50695705.0,2018-11-30,3023103000,2141532000.0,2018,1.82,0.12510000000000002,-0.09255643607314679,0.025928259804578274,2445560809.2000003,0.06726741157722291
G,2018-12-31,26.99,189346101.0,2018-12-31,2125263000,975645000.0,2018,1.12,0.08660000000000001,0.22308926830211506,0.013797826433716675,5110451265.99,0.06436559410918255
GBT,2018-12-31,41.05,55640299.0,2018-12-31,44844000,,2018,1.88,0.1284,0.0,-0.15182008741414682,2284034273.95,0.12361809983605904
GBX,2018-08-31,58.0,32191000.0,2018-08-31,1051481000,27725000.0,2018,1.67,0.11685000000000001,0.23054597816802835,0.022064801931751504,1867078000.0,0.08103198636724494
GCI,2018-12-31,11.57,113125977.0,2018-12-31,1443305000,304264000.0,2018,1.48,0.1064,0.5013097251235121,0.013502696935159235,1308867553.89,0.05619539749253581
GDDY,2018-12-31,65.62,174803000.0,2018-12-31,5258900000,2394200000.0,2018,0.9,0.07450000000000001,-0.12328767123287676,0.014781798474966247,11470572860.0,0.05475182187360326
GDOT,2018-12-31,79.52,52917000.0,2018-12-31,1377306000,,2018,1.19,0.09045,0.04130289055622416,-0.00987653433587017,4207959840.0,0.06622130445056847
GE,2018-12-31,7.57,8702227000.0,2018-12-31,257266000000,95234000000.0,2018,0.96,0.07780000000000001,-0.02895599483460809,0.015534932715555108,65875858390.0,0.025631045522879592
GEL,2018-12-31,18.47,122579218.0,2018-12-31,4037071000,3432463000.0,2018,2.6,0.168,-0.14552166310472114,0.0448495679169378,2264038156.46,0.08306418765157962
GEO,2018-12-31,19.7,120584732.0,2018-12-31,3218214000,2412244000.0,2018,1.04,0.0822,0.03007025321966017,0.0283153699536451,2375519220.4,0.047777817816232734
GES,2019-02-28,22.39,81379660.0,2019-02-28,790707000,35012000.0,2018,1.7,0.1185,0.6324826582170078,-0.001086028073610073,1822090587.4,0.08237887961351231
GGG,2018-12-31,41.85,165170888.0,2018-12-31,720868000,266391000.0,2018,0.56,0.0558,0.16971219623824751,0.01576453664193722,6912401662.8,0.05170650438405472
GHC,2018-12-31,640.58,5300959.0,2018-12-31,1842913000,470777000.0,2018,0.84,0.0712,0.16104702202109378,0.013952753059965392,3395688316.2200003,0.05002992653847861
GIII,2019-01-31,34.87,49355587.0,2019-01-31,1019049000,386604000.0,2018,2.6,0.168,0.24894195724310508,0.03405131647251506,1721029318.6899998,0.11552439643084983
GIS,2019-05-31,49.44,598790681.0,2019-05-31,22743500000,11624800000.0,2019,0.58,0.0569,0.14207492795389054,0.01812482687361224,29604211268.64,0.03839967311789293
GLGI,2019-05-31,0.56,28361201.0,2019-05-31,39356013,24989896.0,2019,1.9,0.1295,0.1747682603763352,0.03686024445616481,15882272.560000002,0.05798125972684515
GLPI,2018-12-31,32.31,214211932.0,2018-12-31,6311686000,5853497000.0,2018,1.02,0.0811,0.014410125406409624,0.03077260655869129,6921187522.92,0.05401303508046331
GLW,2018-12-31,30.21,800399090.0,2018-12-31,13619000000,5994000000.0,2018,1.1,0.0855,0.2907518296739854,0.008875100961891477,24180056508.9,0.05722053223740353
GLYC,2018-12-31,9.47,43160751.0,2018-12-31,9374777,,2018,2.53,0.16415,0.0,-0.27228808749264116,408732311.97,0.1556463046134692
GM,2018-12-31,33.45,1400000000.0,2018-12-31,184562000000,73060000000.0,2018,1.42,0.1031,0.05544508129605796,0.002803664893098254,46830000000.00001,0.02263240950421795
GME,2019-01-31,11.34,101967550.0,2019-01-31,2708100000,471600000.0,2018,1.07,0.08385000000000001,-0.055371132651706345,0.014906761197887818,1156312017.0,0.03334227097385874
GMED,2018-12-31,43.28,98573354.0,2018-12-31,115154000,,2018,0.99,0.07944999999999999,0.17036133718618274,-0.09109210274936173,4266254761.12,0.07547050709015722
GOOD,2018-12-31,17.92,29254899.0,2018-12-31,598758000,566059000.0,2018,1.03,0.08165,0.0,0.0345312797490806,524247790.08000004,0.05266115079942653
GPC,2018-12-31,96.02,145936613.0,2018-12-31,9211049000,2432133000.0,2018,1.11,0.08605000000000002,0.24649966716622718,0.008741756774934105,14012833580.26,0.05465992681001411
GPN,2018-12-31,103.13,157961982.0,2018-12-31,9044431000,5015168000.0,2018,1.14,0.0877,0.13784098691641988,0.015276914600819001,16290619203.66,0.06070019130804088
GPOR,2018-12-31,6.55,162986045.0,2018-12-31,2723268000,2086765000.0,2018,6.6,0.388,-0.00016028209648988323,0.039150612425952934,1067558594.75,0.1314860055464688
GPRO,2018-12-31,4.24,141067000.0,2018-12-31,486247000,138992000.0,2018,1.46,0.1053,-0.01262131413977241,0.030354058739694028,598124080.0,0.06883485487643216
